,text,cossim
960,most people i talk to have some sort of part time job. but then again southern california is expensive.,0.4472135954999579
178,i have! we did our own thing and never really talked. it was fine just had to do what we had to do. rent is expensive!,0.37796447300922725
1669,"why don't you get your rn, work, and then pursue a np or pa? you will still have great earnings that way but it's not as expensive nor as long as medical school.",0.30151134457776363
2533,"bro no for the love of god, choose something else or choose a less expensive community college or university to do your aa at least",0.28867513459481287
3263,"you can, but it's going to be expensive. you can only apply for financial aid one school a time, meaning the other school you attend will have to be paid for completely out of your own pocket.",0.25819888974716115
2636,absolutely not. every marketing major i’ve ever known became a salesman of some sorts…anything from selling ads in publications to staffing. if marketing is your major go to the least expensive university you can.,0.24253562503633297
3573,"after a few dates, the girl will sometimes pay or split the bills too herself.moreover,not every dates has to be expensive some low budget ones are wholesome too like exploring new places . rest you can do some saving or earn online by freelancing",0.23570226039551587
2163,"i’m going into my freshmen year, i will likely need to have a part time to make some extra pocket money for expenses. is it realistic to balance a part time job while also focusing on studies full time?",0.22941573387056177
838,"i got into csulb for pre applied statistics, ucsc for computer engineering and cal poly for electrical engineering. 

so basically, i initially thought i’d go to uwash for comp eng but turns out its j way too expensive, so in my disappointment i thought id go to cc and i also needed to stabilize my mental health bc of high school drama so i dropped apcs bc i was being bullied there and i took up two new college courses (ethical hacking and sql).

but my parents recently agreed to sending me to a mid college from where i could transfer to a better one. but i’m scared i’ll get rescinded for dropping apcs.

anyway, if i do get to do, i wanna change my csu majors to something like computer engineering or data science. i dont wanna do electrical engineering or go to cal poly. how do i change my major at csulb? should i go to ucsc? its like wayyy more expensive than csulb. i like the campus at both places.",0.21693045781865616
3074,realistically -- how much do you make now and how much would you make with the college degree you're aiming for? and how strong is your academic background and how much of your living expenses are you responsible for?,0.20412414523193154
1591,"i'm about to graduate highschool, i can't make up my mind on whether i should go to college or not. i don't even have a major in my mind yet, and probably won't get a scholarship and don't want my parents to pay expensive tuition. what do you think?",0.2041241452319315
2259,"hi,

i’m a parent getting ready to send my daughter to college. we are paying for her tuition, room, meal plan, etc. 

how much should we provide for other expenses like hygiene, hanging out with friends, some groceries etc?

we want to give her an appropriate amount of money where she isn’t pressured to get another job and all her needs are covered. 

thanks!!",0.19611613513818402
558,"this is why i work forty hours a week to afford an apartment off-campus, in a block that’s basically nothing but working people who have an even lower tolerance for bullshit than i do. no roommates, quiet neighbors. expensive as hell, and i’m tired all the time, but it’s worth it. and, bonus, the work experience will look good after graduation.",0.18898223650461363
3549,"yes! my husband attended community college for 2 years, then transferred to a good public university, then got his phd at a top public university. he speaks well of his time at community college. i jokingly complain about his knowing just as much as i do even though my education was much more expensive.",0.1889822365046136
285,"so you're thinking of law right? law school is expensive! grad school in general is expensive! save your money for grad school and go to college debt free! i had to choose between a school i'd wanted to go to since age 9 and free college, i picked free college (well i pay like, $350 a semester, for college thats basiclly free), just the lack of stress from no debt hanging over my head is so worth it even if i think i might have overall liked the other school more. good luck regardless of what you pick but i think arizona is the best choice, go play around with a student loan calculator and factor in the aggressive interest rates and see if the brand name is worth that much debt and stress",0.18814417367671946
2119,"the expense. my major requires a lot of clinical hours per week so a college job is pretty much knocked off the list. 

next is motivation. recently i have lived on campus because i physically cannot get out of bed and drive 5-10 minutes to school. i had this problem throughout hs and living literally next door to my classes has helped.",0.18257418583505536
2017,"hello, 

i am a bioinformatics major at a lesser-known school in my state. i have two years left of school and have been struggling to get any research under my belt. i have applied to many programs at my school and no luck. 

i applied to my state flagship, which is a fair bit more expensive but not unmanageable. the reason i was considering transferring is because they have more research opportunities. i even got a tentative offer to work in an immunology lab under one of the professors, and another offer to work in the biomedical engineering department manufacturing artificial human tissues. this is of course on the condition that i transfer this fall. but the state school is more expensive. 

ill be getting a substantial financial aid package from fafsa and an independent scholarship equalling about 30,000 each year. should i fork over the extra money for the relevant experience at the state school, or save my money, live a little more comfortably, grind out my skills independently, and graduate from the lesser-known school with a extra cash?",0.18257418583505536
2158,"the education journey doesn't have to be over!! i completely understanf having to deal with financial difficulties, i wonder if it would be possible to attend an online or community college for a year and then return to the college you were originally studying at? this way you can save up without falling to far behind in your curriculum!! ive had friends and family utilize the duality of colleges expenses between multiple places and it definitely has helped them.",0.1767766952966369
3802,i am considering doing online classes for gen ed at my local flagship (abt the same cost as cc) because everywhere i’ve been accepted is still too expensive even with aid and scholarships i received. my parents made the condition i have to keep studying during a gap year. this way i can travel/ do seasonal work anywhere with a strong internet connection. a bit of an unorthodox plan but worth the money saved since pell covers it. anyone in a similar situation or have any advice?,0.17407765595569782
1525,"i normally pick an expensive thing i would ordinarily not buy, and reward myself with it after the semester. for example, during a summer semester my old mr coffee was dying, so i set my reward as a really nice coffee maker. another semester i set my reward as a new laptop to replace my sketchy refurbished dell laptop that i gave new life by installing linux on it. normally i set the reward as something i “need” but i get a nicer version of what i would otherwise purchase as a replacement.",0.17149858514250885
2651,"the average marketing graduate in nj makes 42.5k a year in a very expensive col state. you'd be able to pay down what like 5-10k of loans a year on the generous side? so roughly 15 years to pay off your debt and finally enjoy your full mid 40k salary.

so no. this is a terrible idea. don't get 6 figures of debt for a degree that pays about the same as my local taco bell.",0.1690308509457033
2002,"you probably should buckle down in school. moving out doesn't seem feasible. 

so you don't have the money to pay for school, don't have money for a car, but think you have money to move out and pay on student loans? and a car insurance payment and potentially a car payment depending on the route you go? none of these things are free.

can you dorm on campus? normally i wouldn't recommend that because it's expensive, but it would achieve the goal of getting away from your parents and put you in a place where you can focus on school if you're gonna take out loans for that anyway. the only thing is, the last thing you wanna do when you already have no money and no income is create a pile of expenses you won't be able to pay. but, school seems to be the only way forward unless you plan on developing some kind of skillset that you can turn into a job. 

if you're not willing to do any of that, then consider taking a step back, take a breathe, and deal with your parents. sometimes you gotta tough it out. unless they're flat out abusing you, you don't wanna walk out into the world and put yourself in an even worse position. wishing you the best.",0.16724840200141813
3609,"idk. if you are attractive and outgoing, college years will rule for you. if you are a girl, they will rule for you no matter what lol. i made a ton of friends in college, had a ton of fun, dated a ton of girls. i have a ton of good memories. it was expensive, but i dont regret it. the cost keeps going up though, and this was like almost ten years ago. eventually, the cost wont be worth it anymore. il let you be the judge of that.",0.16666666666666666
2089,"poor time management (adhd) and overthinking which results in burnout and then exacerbates my fear of failure immensely. end result is i don’t study or hand in assessments. my final grades drop significantly.

i wish i’d taken more breaks intentionally and organised my day into a routine to get a little done each day.

my other big issue was not majoring in something i liked, found interesting and actually aligns with my strengths. my pathway worked out (i’m doing a 2nd degree) and no regrets but it’s a mistake i’ll be very cautious to avoid repeating. it’s expensive and time consuming.",0.16012815380508713
3578,"do you have a guidance counselor at school? if you don't already live in florida, attending famu is going to be incredibly expensive to attend as an out of state student. you'll need a master's degree to work as an mft. your best bet might be to get an undergraduate degree in your home state and then move to florida for your master's degree. florida has experienced a lot of population growth so the cost of living has increased.",0.15075567228888181
