Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,Actuarial and Financial Mathematics,RPTU University of Kaiserslautern-Landau,Kaiserslautern,Mathematics,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/
Master's degree,Advanced and Computational Mathematics – International Master's Programme,Chemnitz University of Technology,Chemnitz,Mathematics,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/
Master's degree,Advanced Architecture — From Urban Design to Building Construction,Frankfurt University of Applied Sciences,Frankfurt am Main,Architecture,English,Summer semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/
Master's degree,Advanced Computational Methods in Civil Engineering,RWTH Aachen University,Aachen,Civil Engineering,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
Master's degree,Advanced Functional Materials,Chemnitz University of Technology,Chemnitz,Chemistry,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/
Master's degree,Advanced Green Engineering and Sustainable Management,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Engineering in general,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8903/
Master's degree,Advanced Industrial Engineering,Rosenheim Technical University of Applied Sciences,Traunstein,Industrial Engineering,English,Winter semester,"3 semesters, 6 semesters",none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8579/
Master's degree,Advanced Manufacturing,Chemnitz University of Technology,Chemnitz,Engineering in general,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7612/
Master's degree,Advanced Materials Analysis,TU Bergakademie Freiberg,Freiberg,"Mining, Metallurgy",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/
Master's degree,Advanced Quantum Physics (MSc),University of Tübingen,Tübingen,"Physics, Astronomy",English,Winter semester,4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7211/
Master's degree,Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
Master's degree,Advanced Spectroscopy in Chemistry (ASC),Leipzig University,Leipzig,Chemistry,English,Winter semester,4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/
