KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
2627,Princeton University,NJ,Princeton,1,32,1400,3.9,5400,7.00%,60.00%,16793,47140,TRUE
2155,Harvard University,MA,Cambridge,2,32,1430,4,6710,5.00%,55.00%,16338,48949,TRUE
1774,University of Chicago,IL,Chicago,3,32,1450,4,5941,8.00%,42.00%,27767,54825,TRUE
1426,Yale University,CT,New Haven,3,32,1420,,5472,6.00%,50.00%,18385,51400,TRUE
2707,Columbia University,NY,New York,5,32,1430,,6113,6.00%,48.00%,21041,57208,TRUE
2178,Massachusetts Institute of Technology,MA,Cambridge,5,33,1460,,4524,8.00%,58.00%,20331,49892,TRUE
1305,Stanford University,CA,Stanford,5,31,1380,,7034,5.00%,47.00%,19296,49617,TRUE
3378,University of Pennsylvania,PA,Philadelphia,8,32,1380,3.9,10019,9.00%,47.00%,25441,53534,TRUE
2920,Duke University,NC,Durham,9,31,1380,,6609,11.00%,41.00%,23374,53744,TRUE
1131,California Institute of Technology,CA,Pasadena,10,34,1510,,979,8.00%,51.00%,23973,49908,TRUE
2573,Dartmouth College,NH,Hanover,11,30,1350,,4310,11.00%,50.00%,23312,52950,TRUE
2077,Johns Hopkins University,MD,Baltimore,11,32,1420,3.9,6117,12.00%,45.00%,30067,52170,TRUE
1739,Northwestern University,IL,Evanston,11,32,1400,,8353,11.00%,43.00%,31087,52678,TRUE
3401,Brown University,RI,Providence,14,31,1370,,6926,9.00%,41.00%,24482,53419,TRUE
2711,Cornell University,NY,Ithaca,14,31,1330,,14566,14.00%,44.00%,28068,52853,TRUE
3604,Rice University,TX,Houston,14,32,1410,,3893,15.00%,37.00%,23996,45608,TRUE
3535,Vanderbilt University,TN,Nashville,14,32,1420,3.8,6871,11.00%,46.00%,23323,47664,TRUE
1840,University of Notre Dame,IN,Notre Dame,18,32,1350,,8530,19.00%,47.00%,29653,51505,TRUE
2520,Washington University in St. Louis,MO,St. Louis,18,32,1400,,7540,17.00%,41.00%,29245,51533,TRUE
1445,Georgetown University,DC,Washington,20,30,1320,,7453,17.00%,34.00%,29667,52300,TRUE
1564,Emory University,GA,Atlanta,21,30,1290,3.7,6861,25.00%,42.00%,24264,49392,TRUE
1312,University of California--Berkeley,CA,Berkeley,21,29,1300,3.9,29311,16.00%,23.00%,49614,42112,TRUE
1315,University of California--Los Angeles,CA,Los Angeles,21,25,1160,3.9,30873,18.00%,15.00%,42896,41270,TRUE
1328,University of Southern California,CA,Los Angeles,21,30,1280,3.7,18794,17.00%,33.00%,33112,54259,TRUE
3242,Carnegie Mellon University,PA,Pittsburgh,25,31,1380,3.8,6673,22.00%,40.00%,33550,53910,TRUE
6968,University of Virginia,VA,Charlottesville,25,29,1240,4,16331,30.00%,28.00%,28079,46975,TRUE
2978,Wake Forest University,NC,Winston-Salem,27,28,1240,,4955,30.00%,30.00%,24241,51400,TRUE
9092,University of Michigan--Ann Arbor,MI,Ann Arbor,28,29,1310,3.8,28983,29.00%,25.00%,32856,47476,TRUE
2219,Tufts University,MA,Medford,29,31,1370,,5508,14.00%,34.00%,27034,54318,TRUE
2785,New York University,NY,New York,30,29,1250,3.6,26135,32.00%,46.00%,41783,50464,TRUE
2974,University of North Carolina--Chapel Hill,NC,Chapel Hill,30,27,1190,4,18523,27.00%,41.00%,17815,34588,TRUE
2128,Boston College,MA,Chestnut Hill,32,30,1260,,9309,31.00%,35.00%,30170,53346,TRUE
